configuration,auroc,accuracy,f1,recall,precision,delta_f1
Behavioural only,0.8683127572016461,0.7817460317460317,0.7577092511013216,0.6370370370370371,0.9347826086956522,-0.007
Demographic only,0.6074074074074074,0.5396825396825397,0.6627906976744186,0.8444444444444444,0.5454545454545454,-0.102
Fused (0.50 threshold),0.8088002532446977,0.746031746031746,0.7647058823529411,0.7703703703703704,0.7591240875912408,0.0
Fused with DHS calibration,0.8088002532446977,0.746031746031746,0.7647058823529411,0.7703703703703704,0.7591240875912408,0.0
Without SMOTE,0.7599240265906934,0.7142857142857143,0.7352941176470589,0.7407407407407407,0.7299270072992701,-0.029
Logistic Regression,0.8915479582146247,0.6666666666666666,0.5625,0.4,0.9473684210526315,-0.202
Behavioural Ensemble (XGB + LR) + Prior Correction,0.8915479582146247,0.8015873015873016,0.8161764705882353,0.8222222222222222,0.8102189781021898,0.051
Behavioural Ensemble (XGB + LR) + Prior Correction,0.8915479582146247,0.8015873015873016,0.8161764705882353,0.8222222222222222,0.8102189781021898,0.051
Final Ensemble + Prior Correction + DHS Comorbidity Adjustment,0.8916112693890472,0.8095238095238095,0.8208955223880597,0.8148148148148148,0.8270676691729323,0.056
Feature-level fusion (single XGBoost),0.8435580880025325,0.7380952380952381,0.7573529411764706,0.762962962962963,0.7518248175182481,-0.007
Behavioural Ensemble (XGB + LR) + Prior Correction,0.8915479582146247,0.8015873015873016,0.8161764705882353,0.8222222222222222,0.8102189781021898,0.051
Final Ensemble + Prior Correction + DHS Comorbidity Adjustment,0.8916112693890472,0.8095238095238095,0.8208955223880597,0.8148148148148148,0.8270676691729323,0.056
