configuration,items_perturbed,f1,auroc,recall,f1_drop
"All Vorster-flagged (Q1,Q3,Q4,Q8,Q9)","Q1,Q3,Q4,Q8,Q9",0.687,0.741,0.681,0.081
Single: Q1,Q1,0.749,0.786,0.763,0.018
Single: Q2,Q2,0.733,0.775,0.763,0.034
Single: Q3,Q3,0.773,0.83,0.77,-0.006
Single: Q4,Q4,0.75,0.804,0.756,0.018
Single: Q5,Q5,0.749,0.759,0.763,0.018
Single: Q6,Q6,0.748,0.775,0.793,0.019
Single: Q7,Q7,0.753,0.808,0.778,0.015
Single: Q8,Q8,0.764,0.82,0.733,0.003
Single: Q9,Q9,0.759,0.789,0.77,0.008
Single: Q10,Q10,0.765,0.819,0.748,0.002
